study,year,cultivar,fungic,rep,sev,yield,Yld_level,YR_class,gr_hab,sev_check
13,2013,5G830_RR,FLUA[1],3,38,2587,2High,2High,D,48.5
13,2013,5G830_RR,FLUA[1],4,37,2476,2High,2High,D,48.5
13,2013,5G830_RR,FLUO[0.4],1,23,3366,2High,2High,D,48.5
13,2013,5G830_RR,FLUO[0.4],2,22,3108,2High,2High,D,48.5
13,2013,5G830_RR,FLUO[0.4],3,22,3450,2High,2High,D,48.5
13,2013,5G830_RR,FLUO[0.4],4,23,2815,2High,2High,D,48.5
13,2013,5G830_RR,FLUX_PYRA[0.35],1,17,3353,2High,2High,D,48.5
13,2013,5G830_RR,FLUX_PYRA[0.35],2,16,3636,2High,2High,D,48.5
13,2013,5G830_RR,FLUX_PYRA[0.35],3,16,3346,2High,2High,D,48.5
13,2013,5G830_RR,FLUX_PYRA[0.35],4,16,3248,2High,2High,D,48.5
13,2013,5G830_RR,PROT_TRIF[0.4],1,23,2960,2High,2High,D,48.5
13,2013,5G830_RR,PROT_TRIF[0.4],2,25,3440,2High,2High,D,48.5
13,2013,5G830_RR,PROT_TRIF[0.4],3,23,3169,2High,2High,D,48.5
13,2013,5G830_RR,PROT_TRIF[0.4],4,24,2915,2High,2High,D,48.5
13,2013,5G830_RR,ZZ_CHECK,1,48,2500,2High,2High,D,48.5
13,2013,5G830_RR,ZZ_CHECK,2,50,2602,2High,2High,D,48.5
13,2013,5G830_RR,ZZ_CHECK,3,48,3012,2High,2High,D,48.5
13,2013,5G830_RR,ZZ_CHECK,4,48,2635,2High,2High,D,48.5
18,2013,BMX_Potencia_RR,AZ_SOLA[0.2],1,10.2,3548,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,AZ_SOLA[0.2],2,11.2,3630,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,AZ_SOLA[0.2],3,11.8,3400,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,AZ_SOLA[0.2],4,8.4,3682,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,AZ+CZM_TEBU[0.6+1],1,8.3,3508,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,AZ+CZM_TEBU[0.6+1],2,9.8,3583,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,AZ+CZM_TEBU[0.6+1],3,10.6,3740,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,AZ+CZM_TEBU[0.6+1],4,10.8,3752,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,CZM[1],1,26.4,3189,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,CZM[1],2,23.1,3065,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,CZM[1],3,25.3,3256,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,CZM[1],4,20.4,3154,2High,2High,I,45.7
18,2013,BMX_Potencia_RR,CZM_CM_TEBU[1],1,7.4,3239,2High,2High,I,45.7
